010101	3 DE NOVIEMBRE	11224
010101	3 DE NOVIEMBRE	12113
010101	ALBERTO ANDRADE ARIZAGA (BRUMEL)	11495
010101	BENJAMIN RAMIREZ ARTEAGA	11489
010101	EDWIN SACOTO LARRIVA	19428
010101	FEDERICO PROAÑO	11536
010101	FRANCISCA DAVILA	19427
010101	FRANCISCA DAVILA DE MUÑOZ	11214
010101	FRANCISCO TAMARIZ VALDIVIESO	17929
010101	JULIO MATOVELLE	11549
010101	MANUEL MARIA MUÑOZ CUEVA	11484
010101	MIGUEL MORENO ORDOÑEZ	18007
010101	MIGUEL MORENO ORDOÑEZ	19741
010101	RAFAEL AGUILAR PESANTEZ	19545
010101	REPUBLICA DE ALEMANIA	11543
010101	SANTA MARIANA DE JESUS	21825
010102	AURELIO AGUILAR VASQUEZ	11503
010102	AURELIO AGUILAR VAZQUEZ	11240
010102	BENIGNO ASTUDILLO	11630
010102	CESAR DAVILA ANDRADE	17945
010102	CESAR DAVILA ANDRADE	19733
010102	JULIO ABAD CHICA	11638
010102	MANUEL CORRAL JAUREGUI	17939
010102	RAYITO DE LUZ	21797
010102	RITA CHAVEZ DE MUÑOZ	19430
010102	ZOILA AURORA PALACIOS	11499
010102	ZOILA AURORA PALACIOS	19431
010103	12 DE ABRIL	19553
010103	HERMANO MIGUEL	19554
010103	HERNAN MALO GONZALEZ	11255
010103	VICTOR MANUEL ALBORNOZ	19548
010104	13 DE ABRIL	19562
010104	ANDRES HURTADO DE MENDOZA	19561
010104	ANGELICA CORRAL	11360
010104	CARLOS CUEVA TAMARIZ	17983
010104	CARLOS CUEVA TAMARIZ	17987
010104	CIUDAD DE CUENCA	11279
010104	CIUDAD DE CUENCA	11523
010104	CORAZON DE MARIA	18219
010104	CORAZON DE MARIA	19569
010104	DOLORES J. TORRES	11517
010104	EZEQUIEL CRESPO	11527
010104	GABRIEL CEVALLOS GARCIA	11531
010104	I.T.S. FRANCISCO FEBRES CORDERO	17979
010104	I.T.S. FRANCISCO FEBRES CORDERO	19737
010104	JULIO MATOVELLE	19739
010104	LA INMACULADA	11396
010104	MARIA AUXILIADORA	18226
010104	MARIA AUXILIADORA	19509
010104	MIGUEL ANGEL ESTRELLA AREVALO	11520
010104	OTTO AROSEMENA GOMEZ	19552
010104	PIO XII	19749
010104	REMIGIO TAMARIZ CRESPO	19560
010104	ROSA DE JESUS CORDERO	18223
010104	SAGRADO CORAZON	19567
010104	SAN MIGUEL (OBLATAS)	11248
010105	CARLOS ARIZAGA VEGA	18003
010105	ESPAÑA	11217
010105	ESPAÑA	11492
010105	JUAN MONTALVO	11234
010105	JUAN MONTALVO	11545
010105	LUIS CORDERO CRESPO	19429
010105	LUIS ROBERTO BRAVO	11539
010105	MANUEL J. CALLE	17990
010105	MARY CORYLE	11558
010105	REPUBLICA DE CHILE	11553
010105	REPUBLICA DE ISRAEL	17993
010105	REPUBLICA DE ISRAEL	18000
010106	ALFONSO CORDERO PALACIOS	11587
010106	ARZOBISPO SERRANO	11615
010106	CENSTUDIOS	19771
010106	ELENA MOSCOSO TAMARIZ	19745
010106	HONORATO VAZQUEZ	11560
010106	HONORATO VAZQUEZ	19432
010106	JESUS CORDERO DAVILA	19684
010106	JUAN PABLO II	19506
010106	MIGUEL CORDERO CRESPO	19742
010106	OCTAVIO CORDERO PALACIOS	18010
010106	OCTAVIO CORDERO PALACIOS	18016
010106	SAN FRANCISCO	18018
010106	SAN LUIS BELTRAN	18231
010106	SANTA MARIANA DE JESUS	11567
010106	SANTA MARIANA DE JESUS	18229
010106	VICENTE ESCANDON	19508
010107	ALIANZA FRANCESA	19503
010107	ASUNCION	11603
010107	ASUNCION	19501
010107	ASUNCION	19767
010107	CARLOS ZAMBRANO OREJUELA	11269
010107	DANIEL CORDOVA TORAL	19764
010107	FE Y ALEGRIA	11367
010107	FE Y ALEGRIA	11590
010107	GABRIELA MISTRAL	14427
010107	HERMANO MIGUEL	19747
010107	HUAYNA CAPAC	19435
010107	HUAYNA-CAPAC	11599
010107	LOS FRESNOS	19504
010107	REPUBLICA DE COLOMBIA	11265
010107	REPUBLICA DE COLOMBIA	19555
010107	SAN JOSE LA SALLE	11601
010108	CAZADORES DE LOS RIOS	11605
010108	LA ABEJITA	19440
010108	MARIO RIZZINI	11607
010109	ANDRES F.CORDOVA	11611
010109	CATALINA GUERRERO	11609
010109	CESAR ANDRADE Y CORDERO	18033
010109	IGNACIO ANDRADE  ARIZAGA	21848
010109	IVAN SALGADO ESPINOSA	11614
010109	IVAN SALGADO ESPINOZA	11275
010109	MANUELA GARAICOA DE CALDERON	18030
010110	LUIS CORDERO CRESPO	11642
010110	MANUELA CAÑIZARES	11282
010110	MANUELA CAÑIZARES	11619
010110	SOR TERESA VALSE	19514
010110	TERESA VALSE	11625
010111	ANGELA RODRIGUEZ	21801
010111	ANTONIO BORRERO VEGA	11244
010111	CIUDAD DE CUENCA	18035
010111	ECUADOR	18038
010111	ECUADOR	18039
010111	EMILIO MURILLO	11714
010111	HERNAN CORDERO CRESPO	11654
010111	IGNACIO MALO TAMARIZ	11651
010111	REINALDO CHICO GARCIA	11304
010111	REINALDO CHICO GARCIA	11656
010111	REMIGIO CRESPO TORAL	11648
010111	REMIGIO CRESPO TORAL	19442
010111	SAGRADOS CORAZONES	11766
010111	SAGRADOS CORAZONES	12835
010111	SAGRADOS CORAZONES	18233
010111	SANTANA	12183
010111	SANTANA	19518
010111	ULISES CHACON	11649
010111	UNE DEL AZUAY	11221
010111	URUGUAY	11577
